trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.688512400025502,29.688512400025502,space,39.49358639982529,,,,,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,0,0,0,0,,,,,69.29335960000753,69.29335960000753,71.20815564002842,71.30772180017084,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,1,0,1,0,,,,,76.78712290013209,76.78712290013209,78.20202914006077,78.80069780000485,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,2,0,2,0,,,,,83.34533600020222,83.34533600020222,85.19408864025027,85.34505390003324,90.2242625001818,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,3,0,3,0,,,,,90.32312790001743,90.32312790001743,92.20525544006378,92.33783980016597,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,4,0,4,0,,,,,97.31597080011852,97.31597080011852,99.19898604005576,99.33267760020681,104.22549380012788,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,5,0,5,0,,,,,104.32726630009711,104.32726630009711,106.20872384016403,106.34194680000655,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,6,0,6,0,,,,,111.30211000004783,111.30211000004783,113.20287194019184,113.30317000020295,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,7,0,7,0,,,,,118.31214550021105,118.31214550021105,120.19623974021525,120.31232650019228,125.22313870000653,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,8,0,8,0,,,,,125.30645630019717,125.30645630019717,127.20498884012923,127.30551240011118,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,9,0,9,0,,,,,132.31677920022048,132.31677920022048,134.19877134016716,134.31653160019778,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
0,0,0,0,,,,,,,,,,,,,,139.22712520021014,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,0,0,0,0,,,,,144.3056606000755,144.3056606000755,146.2043214401696,146.32088880008087,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,1,0,1,0,,,,,151.31791150011122,151.31791150011122,153.19919264023193,153.33096850011498,158.22525500017218,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,2,0,2,0,,,,,158.30885810009204,158.30885810009204,160.2076890402008,160.30715380003676,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,3,0,3,0,,,,,165.31905370019376,165.31905370019376,167.20230064014905,167.31713320012204,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,4,0,4,0,,,,,172.3151743002236,172.3151743002236,174.1947123402264,174.32752450020052,179.23970710020512,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,5,0,5,0,,,,,179.34011950017884,179.34011950017884,181.2046937400941,181.3556566000916,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,6,0,6,0,,,,,186.31650210008956,186.31650210008956,188.19770024004393,188.3157693000976,193.22981770010665,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,7,0,7,0,,,,,193.32706910022534,193.32706910022534,195.2095779400319,195.34282390004955,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,8,0,8,0,,,,,200.32041460019536,200.32041460019536,202.20324544012547,202.3346317000687,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,9,0,9,0,,,,,207.3135135001503,207.3135135001503,209.19623694019393,209.32876990013756,214.22268680017442,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
1,0,1,0,,,,,,,,,,,,,,214.24342590011656,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,0,0,0,0,,,,,219.30324430018663,219.30324430018663,221.20169754009694,221.31999030010775,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,1,0,1,0,,,,,226.3315415000543,226.3315415000543,228.19488474014216,228.34451300022192,233.2227753000334,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,2,0,2,0,,,,,233.37272730004042,233.37272730004042,235.20467204004527,235.38839990017004,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,3,0,3,0,,,,,240.31814460013993,240.31814460013993,242.19946134006605,242.33049390022643,247.22782350005582,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,4,0,4,0,,,,,247.32651170017198,247.32651170017198,249.20826324014925,249.32593170017935,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,5,0,5,0,,,,,254.320596100064,254.320596100064,256.2020861400291,256.3355842002202,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,6,0,6,0,,,,,261.31293380004354,261.31293380004354,263.19536624019963,263.32875490002334,268.2236550000962,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,7,0,7,0,,,,,268.32187950005755,268.32187950005755,270.20502084014004,270.3216939000413,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,8,0,8,0,,,,,275.33494910015725,275.33494910015725,277.19901814018374,277.3477962000761,282.2271383001935,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,9,0,9,0,,,,,282.3263657002244,282.3263657002244,284.2105431401636,284.3425607001409,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,,,,,,,,,,,,,,289.23760200012475,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,0,0,0,0,,,,,294.2825186001137,294.2825186001137,296.22370594004167,296.2981986000668,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,1,0,1,0,,,,,301.31005160021596,301.31005160021596,303.208767740149,303.308210400166,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,2,0,2,0,,,,,308.8718164002057,308.8718164002057,310.2204482400324,310.88325090007856,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,3,0,3,0,,,,,315.34595190011896,315.34595190011896,317.1983489402104,317.3442134000361,322.2229862001259,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,4,0,4,0,,,,,322.3272061001044,322.3272061001044,324.204332640022,324.33816400007345,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,5,0,5,0,,,,,329.31491430010647,329.31491430010647,331.19872254002837,331.3141696001403,336.2270277000498,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,6,0,6,0,,,,,336.32790740020573,336.32790740020573,338.207451340137,338.3418601001613,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,7,0,7,0,,,,,343.31847160006873,343.31847160006873,345.20190494004635,345.31757660000585,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,8,0,8,0,,,,,350.3288269001059,350.3288269001059,352.1965385401621,352.33016860019416,357.22383930021897,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,9,0,9,0,,,,,357.32350120018236,357.32350120018236,359.2055854402482,359.33947390015237,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,,,,,,,,,,,,,,364.237605500035,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,0,0,0,0,,,,,369.2948244002182,369.2948244002182,371.20987794022074,371.3110289000906,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,1,0,1,0,,,,,376.32183160004206,376.32183160004206,378.2047199400607,378.319992300123,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,2,0,2,0,,,,,383.30244450015016,383.30244450015016,385.1977002400439,385.3183493001852,390.2266177001875,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,3,0,3,0,,,,,390.32622090005316,390.32622090005316,392.2089572400786,392.34192100004293,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,4,0,4,0,,,,,397.317915200023,397.317915200023,399.2017173402477,399.3175506000407,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,5,0,5,0,,,,,404.3137401000131,404.3137401000131,406.1943309401162,406.3278528000228,411.2231064001098,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,6,0,6,0,,,,,411.3234662001487,411.3234662001487,413.20604534014126,413.32265520002693,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,7,0,7,0,,,,,418.31589180021547,418.31589180021547,420.1983199402224,420.33163380017504,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,8,0,8,0,,,,,425.3096911001485,425.3096911001485,427.2087307401001,427.3252943002153,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,9,0,9,0,,,,,432.3397925000172,432.3397925000172,434.20157354008404,434.3521604000125,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
4,0,4,0,,,,,,,,,,,,,,439.23040010011755,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
,,,,,,,,,,,,,,,,,,444.23040680005215,444.23040680005215,,,,,,,
