trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,40.26776269997936,40.26776269997936,space,1726.061440200021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.3577847999986,1796.3728282999946,1796.3728282999946,1796.3728282999946,space,7.153692999971099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1803.5564298999961,1803.5564298999961,1804.5589833999984,1805.5561458999873,None,1805.5561458999873,1805.5561458999873,1,442.46049999492243,space,0.44246049999492243,1806.0224001999595,1806.5220679999911,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1806.5220679999911,1806.5220679999911,1807.5224168999703,1808.5223533000099,None,1808.5223533000099,1808.5223533000099,1,348.3255000319332,space,0.3483255000319332,1808.9037553999806,1809.4059604000067,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1809.4059604000067,1809.4059604000067,1811.4053470999934,1812.4051678999676,None,1812.4051678999676,1812.4051678999676,1,321.7284000129439,space,0.3217284000129439,1812.7696385000017,1813.2722537000082,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1813.2722537000082,1813.2722537000082,1814.2717461999855,1815.271825600008,None,1815.271825600008,1815.271825600008,1,318.8646000344306,space,0.3188646000344306,1815.6046640999848,1816.104758100002,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1816.104758100002,1816.104758100002,1819.1047006999725,1820.1049226999748,None,1820.1049226999748,1820.1049226999748,1,318.2177999988198,space,0.31821779999881983,1820.4378905000049,1820.9383345000097,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1820.9383345000097,1820.9383345000097,1823.9383082999848,1824.9377742999932,None,1824.9377742999932,1824.9377742999932,1,324.5215999777429,space,0.3245215999777429,1825.302266499959,1825.8047021999955,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1825.8047021999955,1825.8047021999955,1828.8040974999894,,None,,,0,nan,None,,1834.570852499979,1835.0704216000158,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1835.0704216000158,1835.0704216000158,1835.0704216000158,1836.070693799993,None,1836.070693799993,1836.070693799993,1,423.9833999890834,space,0.4239833999890834,1836.5209651999758,1837.0208874999662,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1837.0208874999662,1837.0208874999662,1838.0217342000105,1839.0210003000102,None,1839.0210003000102,1839.0210003000102,1,433.52310004411265,space,0.43352310004411265,1839.470048099989,1839.9725166999851,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1839.9725166999851,1839.9725166999851,1841.9721080999589,1842.9874419000116,None,1842.9874419000116,1842.9874419000116,1,355.8603000128642,space,0.3558603000128642,1843.3846156999934,1843.8874437999912,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1843.8874437999912,1843.8874437999912,1843.8874437999912,1844.886760799971,None,1844.886760799971,1844.886760799971,1,384.64180001756176,space,0.38464180001756176,1845.3019861999783,1845.8034484999953,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1845.8034484999953,1845.8034484999953,1845.8034484999953,1846.8034947999986,None,1846.8034947999986,1846.8034947999986,1,331.7745000240393,space,0.3317745000240393,1847.1679468000075,1847.6699665999622,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1847.6699665999622,1847.6699665999622,1849.6694873999804,1850.6697230999707,None,1850.6697230999707,1850.6697230999707,1,360.9059000154957,space,0.3609059000154957,1851.0537952000159,1851.5535352000152,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1851.5535352000152,1851.5535352000152,1851.5535352000152,1852.5534284000169,None,1852.5534284000169,1852.5534284000169,1,398.25359999667853,space,0.39825359999667853,1852.9848809000105,1853.4861395999906,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1853.4861395999906,1853.4861395999906,1854.4864392000018,1855.486296899966,None,1855.486296899966,1855.486296899966,1,296.6799000278115,space,0.2966799000278115,1855.8174557999591,1856.3198968999786,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1856.3198968999786,1856.3198968999786,1857.3194072999759,1858.3190306999604,None,1858.3190306999604,1858.3190306999604,1,319.70480002928525,space,0.31970480002928525,1858.6671554999775,1859.1695029999828,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1859.1695029999828,1859.1695029999828,1862.1693024999695,1863.168925200007,None,1863.168925200007,1863.168925200007,1,327.5619000196457,space,0.3275619000196457,1863.5336251999834,1864.03556379996,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1864.03556379996,1864.03556379996,1867.0361100999871,1868.035754600016,None,1868.035754600016,1868.035754600016,1,387.6711000339128,space,0.3876711000339128,1868.4535297999973,1868.9703731999616,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1868.9703731999616,1868.9703731999616,1871.9708393999608,1872.9702859999961,None,1872.9702859999961,1872.9702859999961,1,324.7346999705769,space,0.3247346999705769,1873.3194640000002,1873.8192752999603,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1873.8192752999603,1873.8192752999603,1875.8191506000003,1876.8187993000029,None,1876.8187993000029,1876.8187993000029,1,340.55540000554174,space,0.34055540000554174,1877.1879604000133,1877.7019356999663,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1877.7019356999663,1877.7019356999663,1877.7019356999663,1878.7014722999884,None,1878.7014722999884,1878.7014722999884,1,489.36020000837743,space,0.48936020000837743,1879.233400499972,1879.7349747999688,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1879.7349747999688,1879.7349747999688,1879.7349747999688,1880.7351141999825,None,1880.7351141999825,1880.7351141999825,1,343.7262999941595,space,0.3437262999941595,1881.1164400000125,1881.6182158999727,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1881.6182158999727,1881.6182158999727,1882.6178586999886,1883.6180506999954,None,1883.6180506999954,1883.6180506999954,1,317.1889999648556,space,0.3171889999648556,1883.9516184999957,1884.4513319999678,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1884.4513319999678,1884.4513319999678,1885.4511476999614,1886.4513415999827,None,1886.4513415999827,1886.4513415999827,1,316.50479999370873,space,0.31650479999370873,1886.784465099976,1887.2844934000168,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1887.2844934000168,1887.2844934000168,1890.2843764999998,1891.2846485999762,None,1891.2846485999762,1891.2846485999762,1,338.98040000349283,space,0.33898040000349283,1891.6658006999642,1892.1679036999703,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1892.1679036999703,1892.1679036999703,1892.1679036999703,1893.1674788999953,None,1893.1674788999953,1893.1674788999953,1,385.0397999631241,space,0.3850397999631241,1893.5680695999763,1894.0681366999634,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1894.0681366999634,1894.0681366999634,1895.0672639000113,1896.0681088999845,None,1896.0681088999845,1896.0681088999845,1,315.4135000077076,space,0.3154135000077076,1896.4005821999745,1896.9004957000143,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1896.9004957000143,1896.9004957000143,1899.9005660999683,1900.9002422000049,None,1900.9002422000049,1900.9002422000049,1,354.81199994683266,space,0.35481199994683266,1901.298149099981,1901.8002743999823,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1901.8002743999823,1901.8002743999823,1901.8002743999823,1902.8002444999875,None,1902.8002444999875,1902.8002444999875,1,422.75209998479113,space,0.42275209998479113,1903.250731899985,1903.7506480999873,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1903.7506480999873,1903.7506480999873,1903.7506480999873,1904.7508826999692,None,1904.7508826999692,1904.7508826999692,1,352.33229998266324,space,0.35233229998266324,1905.132765699993,1905.6340913999593,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1905.6340913999593,1905.6340913999593,1906.6335341999657,1907.6332633999991,None,1907.6332633999991,1907.6332633999991,1,342.16250001918525,space,0.34216250001918525,1908.0014475999633,1908.4998695999966,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1908.4998695999966,1908.4998695999966,1911.4997544999933,1912.4998025000095,None,1912.4998025000095,1912.4998025000095,1,333.2115999655798,space,0.3332115999655798,1912.8504266999662,1913.350419299968,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1913.350419299968,1913.350419299968,1916.3502340000123,1917.3497695999686,None,1917.3497695999686,1917.3497695999686,1,330.625600006897,space,0.330625600006897,1917.7138153999695,1918.2163460999727,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1918.2163460999727,1918.2163460999727,1920.2160163999652,1921.2158987000003,None,1921.2158987000003,1921.2158987000003,1,335.58429998811334,space,0.33558429998811334,1921.5802481999854,1922.0826347999973,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1922.0826347999973,1922.0826347999973,1923.0825696999673,1924.0829015999916,None,1924.0829015999916,1924.0829015999916,1,308.552399976179,space,0.308552399976179,1924.4157368000015,1924.9155842000037,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1924.9155842000037,1924.9155842000037,1924.9155842000037,1925.9156526000006,None,1925.9156526000006,1925.9156526000006,1,323.9011999685317,space,0.32390119996853173,1926.2817917999928,1926.7835760000162,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1926.7835760000162,1926.7835760000162,1928.7825579000055,1929.7820534000057,None,1929.7820534000057,1929.7820534000057,1,344.9816000065766,space,0.3449816000065766,1930.1640301999869,1930.6664362999727,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1930.6664362999727,1930.6664362999727,1930.6664362999727,1931.6655865999637,None,1931.6655865999637,1931.6655865999637,1,334.10119998734444,space,0.33410119998734444,1932.0172019000165,1932.5320878999773,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1932.5320878999773,1932.5320878999773,1935.5323891000007,1936.531928899989,None,1936.531928899989,1936.531928899989,1,323.31250002607703,space,0.32331250002607703,1936.8975397999748,1937.3982856000075,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1937.3982856000075,1937.3982856000075,1938.3981196999666,1939.398509599967,None,1939.398509599967,1939.398509599967,1,353.4823000081815,space,0.3534823000081815,1939.7959160999744,1940.2980320999632,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1940.2980320999632,1940.2980320999632,1943.2978111999691,1944.298057899985,None,1944.298057899985,1944.298057899985,1,333.90330005204305,space,0.33390330005204305,1944.6625958000077,1945.164903900004,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1945.164903900004,1945.164903900004,1946.1650810000137,1947.1657154000131,None,1947.1657154000131,1947.1657154000131,1,410.005200013984,space,0.410005200013984,1947.5977464999887,1948.0983298000065,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1948.0983298000065,1948.0983298000065,1950.0975667999592,1951.0974638999905,None,1951.0974638999905,1951.0974638999905,1,358.7582999607548,space,0.3587582999607548,1951.4815422999673,1951.9813991999836,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1951.9813991999836,1951.9813991999836,1954.9818418999785,1955.981200099981,None,1955.981200099981,1955.981200099981,1,369.89259999245405,space,0.36989259999245405,1956.378767999995,1956.8809461999917,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.8809461999917,1956.8809461999917,space,6.678210499987472,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.5948426999967,1963.5948426999967,num_7,1.4856128999963403,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.4455589000136,1965.4455589000136,num_8,1.9546518999850377,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.7623536000028,1967.7623536000028,num_8,2.0051810999866575,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.128601000004,1970.128601000004,num_1,2.2873561999876983,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.7610110999667,1972.7610110999667,num_5,2.7827334000030532,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.9451908000046,1975.9451908000046,num_2,3.2468149000196718,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979.5781033000094,1979.5781033000094,num_6,1.5097107000183314,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
