trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,23.33209359999455,23.33209359999455,space,29.64366240000527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,,,,,,,,,,,,,,,,,,,,,52.999594299995806,83.01301229999808,83.01301229999808,83.01301229999808,space,19.24297550000483,,,,,,,,,,,,,,,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,102.27833269999974,102.27833269999974,105.27816090000124,106.27789949999715,None,106.27789949999715,106.27789949999715,1,315.0992000082624,space,0.3150992000082624,106.62647319999814,107.13023650000105,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,107.13023650000105,107.13023650000105,110.14470379999693,111.15881509999599,None,111.15881509999599,111.15881509999599,1,337.98620000015944,space,0.33798620000015944,111.52536099999998,112.03189749999729,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,112.03189749999729,112.03189749999729,114.04454299999634,115.04488119999587,None,115.04488119999587,115.04488119999587,1,435.32690000574803,space,0.43532690000574803,115.51175759999751,116.01285829999688,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,116.01285829999688,116.01285829999688,116.01285829999688,117.0273348999981,None,117.0273348999981,117.0273348999981,1,404.75790000346024,space,0.40475790000346024,117.47575819999474,117.9791922000004,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,117.9791922000004,117.9791922000004,120.99401489999582,121.99383129999478,None,121.99383129999478,121.99383129999478,1,318.2861000095727,space,0.3182861000095727,122.33021019999433,122.84564259999752,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,122.84564259999752,122.84564259999752,123.86308559999452,124.85981919999904,None,124.85981919999904,124.85981919999904,1,389.7262000027695,space,0.3897262000027695,125.27710490000027,125.77710989999468,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,125.77710989999468,125.77710989999468,127.77712339999562,128.77719109999452,None,128.77719109999452,128.77719109999452,1,302.7658000064548,space,0.3027658000064548,129.12554789999558,129.62905269999465,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,129.62905269999465,129.62905269999465,130.62829200000124,131.62761350000073,None,131.62761350000073,131.62761350000073,1,348.4307000035187,space,0.3484307000035187,132.0088351999948,132.50946829999884,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,132.50946829999884,132.50946829999884,132.50946829999884,133.5098188999982,None,133.5098188999982,133.5098188999982,1,330.1186000026064,space,0.3301186000026064,133.87532549999742,134.377607800001,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,134.377607800001,134.377607800001,135.37753659999726,136.39055669999652,None,136.39055669999652,136.39055669999652,1,313.8587000066764,space,0.31385870000667637,136.726290599996,137.22860909999872,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,137.22860909999872,137.22860909999872,138.24242329999834,139.2434942999971,None,139.2434942999971,139.2434942999971,1,308.4670000025653,space,0.30846700000256533,139.59129559999565,140.09814740000002,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,140.09814740000002,140.09814740000002,142.10991349999676,143.1087069999994,None,143.1087069999994,143.1087069999994,1,332.0475000073202,space,0.3320475000073202,143.4592909999992,143.95978659999673,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,143.95978659999673,143.95978659999673,145.95931009999913,146.9590903999997,None,146.9590903999997,146.9590903999997,1,296.8756000045687,space,0.2968756000045687,147.27649340000062,147.77877279999666,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,147.77877279999666,147.77877279999666,147.77877279999666,148.79336169999442,None,148.79336169999442,148.79336169999442,1,519.3080000026384,space,0.5193080000026384,149.34171770000103,149.8417679999984,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,149.8417679999984,149.8417679999984,152.84145949999947,153.842032499997,None,153.842032499997,153.842032499997,1,303.65700000402285,space,0.30365700000402285,154.1921413999953,154.69465019999916,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,154.69465019999916,154.69465019999916,157.708627299995,158.70944549999695,None,158.70944549999695,158.70944549999695,1,314.82859999960056,space,0.31482859999960056,159.05785569999716,159.57325449999917,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,159.57325449999917,159.57325449999917,161.57566289999522,162.57547519999935,None,162.57547519999935,162.57547519999935,1,336.6180000011809,space,0.3366180000011809,162.9402071000004,163.44144750000123,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,163.44144750000123,163.44144750000123,164.44294429999718,165.44133879999572,None,165.44133879999572,165.44133879999572,1,487.76240000734106,space,0.48776240000734106,165.97328719999496,166.4745427999951,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,166.4745427999951,166.4745427999951,166.4745427999951,167.47409359999438,None,167.47409359999438,167.47409359999438,1,382.4946000095224,space,0.3824946000095224,167.89006009999866,168.3911877999999,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,168.3911877999999,168.3911877999999,171.39047449999634,172.39104949999455,None,172.39104949999455,172.39104949999455,1,345.9084000060102,space,0.3459084000060102,172.7721359999996,173.27504259999841,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,173.27504259999841,173.27504259999841,176.27367859999504,177.2734625000012,None,177.2734625000012,177.2734625000012,1,358.53010000573704,space,0.35853010000573704,177.65682569999626,178.1761955999973,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,178.1761955999973,178.1761955999973,178.1761955999973,179.19039929999417,None,179.19039929999417,179.19039929999417,1,386.4547000048333,space,0.3864547000048333,179.62251639999886,180.12522660000104,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,180.12522660000104,180.12522660000104,181.12571380000009,182.14228069999808,None,182.14228069999808,182.14228069999808,1,434.6482000037213,space,0.4346482000037213,182.6063198999982,183.10870299999806,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,183.10870299999806,183.10870299999806,186.12402909999946,187.12402250000014,None,187.12402250000014,187.12402250000014,1,342.1848000070895,space,0.3421848000070895,187.50432010000077,188.0083611000009,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,188.0083611000009,188.0083611000009,190.02351729999646,191.0234230999995,None,191.0234230999995,191.0234230999995,1,346.42600000370294,space,0.34642600000370294,191.40465929999482,191.9094174999991,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,191.9094174999991,191.9094174999991,194.92341029999807,195.92306290000124,None,195.92306290000124,195.92306290000124,1,349.7388000105275,space,0.3497388000105275,196.2901079000003,196.7903029999943,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,196.7903029999943,196.7903029999943,198.80641259999538,199.7906051999962,None,199.7906051999962,199.7906051999962,1,329.9745000040275,space,0.3299745000040275,200.15541929999745,200.65658869999606,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200.65658869999606,200.65658869999606,200.65658869999606,201.65866480000113,None,201.65866480000113,201.65866480000113,1,453.9214000033098,space,0.4539214000033098,202.15679190000083,202.65682259999448,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,202.65682259999448,202.65682259999448,205.65683499999432,206.65537349999795,None,206.65537349999795,206.65537349999795,1,345.0365000026068,space,0.34503650000260677,207.02502660000027,207.5394182999953,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,207.5394182999953,207.5394182999953,209.54088529999717,210.54113149999466,None,210.54113149999466,210.54113149999466,1,427.1603000088362,space,0.4271603000088362,211.0043966000012,211.50920760000008,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,211.50920760000008,211.50920760000008,213.52158299999428,214.52167660000123,None,214.52167660000123,214.52167660000123,1,335.237600003893,space,0.335237600003893,214.87497269999585,215.39145669999562,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,215.39145669999562,215.39145669999562,217.40584909999598,218.40510189999623,None,218.40510189999623,218.40510189999623,1,315.459200006444,space,0.315459200006444,218.753461100001,219.25609599999734,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,219.25609599999734,219.25609599999734,220.25825059999625,221.25746019999497,None,221.25746019999497,221.25746019999497,1,367.68400000437396,space,0.36768400000437396,221.65282640000078,222.15995219999604,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,222.15995219999604,222.15995219999604,225.17653979999886,226.17628569999943,None,226.17628569999943,226.17628569999943,1,304.77560000144877,space,0.30477560000144877,226.5197870999982,227.02376839999488,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,227.02376839999488,227.02376839999488,228.03943839999556,229.0385129999995,None,229.0385129999995,229.0385129999995,1,386.28700000117533,space,0.38628700000117533,229.4529354999977,229.95626289999927,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,229.95626289999927,229.95626289999927,230.9566930000001,231.9858183999968,None,231.9858183999968,231.9858183999968,1,294.6600000068429,space,0.2946600000068429,232.304701699999,232.8047976999951,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,232.8047976999951,232.8047976999951,233.8046280999988,234.80541119999543,None,234.80541119999543,234.80541119999543,1,307.6398000048357,space,0.3076398000048357,235.1700720000008,235.6712133999972,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,235.6712133999972,235.6712133999972,236.67165849999583,237.67100109999592,None,237.67100109999592,237.67100109999592,1,321.9385999982478,space,0.3219385999982478,238.036070999995,238.537631399995,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,238.537631399995,238.537631399995,238.537631399995,239.53944489999412,None,239.53944489999412,239.53944489999412,1,349.1317000007257,space,0.3491317000007257,239.91898409999703,240.42251530000067,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,240.42251530000067,240.42251530000067,243.42102349999914,244.4515922999999,None,244.4515922999999,244.4515922999999,1,325.7856999989599,space,0.3257856999989599,244.80385679999745,245.30736590000015,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,245.30736590000015,245.30736590000015,247.31997509999928,248.32035899999755,None,248.32035899999755,248.32035899999755,1,329.4388000067556,space,0.3294388000067556,248.67064519999985,249.17592399999558,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,249.17592399999558,249.17592399999558,251.18625679999968,252.18619559999934,None,252.18619559999934,252.18619559999934,1,302.60130000533536,space,0.30260130000533536,252.50372760000027,253.00657879999926,,,,,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.00657879999926,253.00657879999926,space,2.5462369000088074,,,,,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.58399680000002,255.58399680000002,num_5,2.369200400004047,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.4008468999964,258.4008468999964,num_7,2.432311100004881,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.2512910000005,261.2512910000005,num_4,3.086114700003236,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.7343245999946,264.7343245999946,num_7,3.458821500003978,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.601279399998,268.601279399998,num_3,5.727713800006313,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.7340907999969,274.7340907999969,num_2,3.299596900011238,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.45007479999913,278.45007479999913,num_3,3.8156720000042696,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.7002719999946,282.7002719999946,num_3,3.5326874000093085,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.66571579999436,286.66571579999436,num_4,4.9203737000061665,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.96638489999896,291.96638489999896,num_4,1.6026469999997062,,,,,levi_afternoon_coffee,001,2023-12-15_14h13.59.081,game,2022.2.5,60.275059206818405,
