trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,sound_1.started,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,0,200,6,,,,,447.19564460002584,447.67579374005436,448.17895980004687,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,1,201,7,,,,,448.191818100051,448.6775762400066,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,2,202,7,,,,,449.19094530004077,449.6743545400386,450.17340580001473,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,3,203,5,,,,,450.1900573000312,450.6764371400059,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,25,4,204,3,,,,,451.1917931000353,451.6732806400105,452.17101620003814,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,5,205,2,,,,,452.19133190001594,452.6722664400295,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,6,206,1,,,,,453.1873404000071,453.670006940054,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,25,7,207,3,,,,,454.1861026000115,454.67016574004083,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,0,208,2,,,,,455.1853365999996,455.6685865400068,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,1,209,6,,,,,456.1843146000174,456.6674758400477,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,2,210,0,,,,,457.18359780003084,457.6672652400157,458.1684370000148,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,3,211,4,,,,,458.1820729000028,458.66744624005514,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,4,212,2,,,,,459.18287360004615,459.6646630400501,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,5,213,7,,,,,460.19721840001876,460.66471743999864,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,6,214,5,,,,,461.1963748999988,461.67984854002134,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,7,215,0,,,,,462.19818320003105,462.6814185400435,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,0,216,4,,,,,463.1944083000417,463.67842114003724,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,1,217,4,,,,,464.1937198000378,464.67695004001143,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,27,2,218,3,,,,,465.19272640004056,465.6755211400159,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,3,219,0,,,,,466.19156010000734,466.6778957400529,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,4,220,5,,,,,467.1909450000385,467.67384274004144,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,5,221,4,,,,,468.19005920004565,468.67365434000385,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,6,222,0,,,,,469.18840700003784,469.6721339400101,470.17180110001937,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,7,223,6,,,,,470.18762820004486,470.670887640008,471.17230230005225,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,0,224,2,,,,,471.1865902999998,471.67326594001497,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,1,225,5,,,,,472.18609990004916,472.6695666400192,473.16891580005176,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,2,226,6,,,,,473.1851327000186,473.67026733999955,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,28,3,227,3,,,,,474.18675450002775,474.6669927400362,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,4,228,5,,,,,475.18581890000496,475.6671185400046,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,5,229,5,,,,,476.1827276000404,476.6665927400172,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,6,230,0,,,,,477.19775089999894,477.6650267400255,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,7,231,0,,,,,478.1973710000166,478.6639846400067,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,0,232,1,,,,,479.1957510000211,479.68050984005095,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,1,233,6,,,,,480.1964827000047,480.6782738400216,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,29,2,234,3,,,,,481.1778498000349,481.6772471400036,,,,,,482.17742370005,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,3,235,0,,,,,482.17742370005,482.67725844003144,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,29,4,236,3,,,,,483.1925077000051,483.67711764000705,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,5,237,1,,,,,484.1955799999996,484.6754381400242,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,6,238,1,,,,,485.1906420000014,485.67621704001795,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,7,239,7,,,,,486.1922795000137,486.67243704004795,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,0,240,6,,,,,487.1914220000035,487.6721554399992,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,1,241,7,,,,,488.18751700001303,488.6720136400254,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,2,242,6,,,,,489.186619300046,489.67109164004796,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,3,243,0,,,,,490.18548110005213,490.6696367400291,491.1679938000161,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,4,244,7,,,,,491.18577240000013,491.6712053400406,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,5,245,0,,,,,492.18381410004804,492.67082184003084,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,6,246,4,,,,,493.18345780001255,493.6665341400367,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,7,247,1,,,,,494.1828267000383,494.6654246400285,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,0,248,6,,,,,495.1816975000547,495.66513474003295,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,1,249,2,,,,,496.1971719000139,496.664585140039,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,2,250,1,,,,,497.1790167000145,497.66454534002696,498.1614101000014,,,,,498.18210600002203,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,3,251,1,,,,,498.18210600002203,498.6784763400501,499.1775292000384,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,4,252,4,,,,,499.19433310005115,499.6774373400549,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,31,5,253,3,,,,,500.1940476000309,500.6766375400184,501.17548390000593,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,6,254,6,,,,,501.19185709999874,501.6751031400345,502.1751318000024,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,31,7,255,0,,,,,502.19524359999923,502.6770323399978,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,32,0,256,0,,,,,503.19027190003544,503.6732218400284,504.17377829999896,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,32,1,257,3,,,,,504.18952080002055,504.672356140014,505.1721161000314,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,32,2,258,3,,,,,505.18860280001536,505.6713761400024,506.17218480003066,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,32,3,259,7,,,,,506.1871282000211,506.6710080400517,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,32,4,260,5,,,,,507.19162600004347,507.67072994002956,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,32,5,261,7,,,,,508.1896695000469,508.6689477400214,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,32,6,262,6,,,,,509.1852520000539,509.672300240054,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,32,7,263,0,,,,,510.1837948000175,510.66765684002894,511.1672850000323,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,33,0,264,5,,,,,511.18628650001483,511.6661045400251,512.1648806000012,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,33,1,265,4,,,,,512.1826864000177,512.6650806400285,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,33,2,266,5,,,,,513.1815060000517,513.6656186400505,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,33,3,267,0,,,,,514.1810152000398,514.6828569400532,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,33,4,268,3,,,,,515.1968053000164,515.6794410400034,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,33,5,269,0,,,,,516.1954908000189,516.6777603400114,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,33,6,270,2,,,,,517.1949421000318,517.6767988400243,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,33,7,271,3,,,,,518.193357000011,518.6763154400105,519.1752815000364,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,34,0,272,3,,,,,519.1956595000229,519.6751131400524,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,1,273,7,,,,,520.1927958000451,520.6746325400018,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,2,274,2,,,,,521.1911713000154,521.6731217400229,522.1719177000341,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,3,275,5,,,,,522.1886180000147,522.6723840400518,523.1719488000381,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,4,276,5,,,,,523.1920546000474,523.6715097400302,524.1709990000236,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,5,277,5,,,,,524.187212400022,524.6704602400132,525.1721738000051,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,6,278,0,,,,,525.1861507000285,525.6715370400052,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,34,7,279,2,,,,,526.1854561000364,526.6699085400032,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,0,280,2,,,,,527.1856483000447,527.6696900400275,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,1,281,4,,,,,528.1837455000496,528.6673311400518,529.1663262000075,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,2,282,0,,,,,529.1823710000026,529.6661357400299,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,3,283,4,,,,,530.1820015000412,530.6685988400423,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,4,284,0,,,,,531.1973503000336,531.6673247400031,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,5,285,4,,,,,532.1812876000185,532.6810773400066,533.1814511000412,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,35,6,286,6,,,,,533.196068600053,533.6789017400297,534.1780503000482,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,35,7,287,3,,,,,534.1956152000348,534.6778411400446,535.1769762000185,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,0,288,2,,,,,535.1951201000484,535.6767497399997,536.1761211000266,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,1,289,4,,,,,536.1923959000269,536.6764816400537,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,2,290,5,,,,,537.1954495000537,537.6746180400078,538.1771442000172,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,36,3,291,3,,,,,538.1928714000387,538.6752843400172,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,4,292,4,,,,,539.1924090000102,539.6738046400424,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,5,293,1,,,,,540.1895033000037,540.6741066400136,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,6,294,1,,,,,541.1879511000006,541.6711612400541,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,36,7,295,0,,,,,542.1877534000087,542.6744822400215,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,37,0,296,3,,,,,543.1870279000141,543.669138140016,544.1688142000348,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,37,1,297,1,,,,,544.1851745000458,544.6687207400391,545.1677729000221,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,37,2,298,3,,,,,545.1866675000056,545.6673163400555,546.1665335000143,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,37,3,299,7,,,,,546.1876436000457,546.6683003400394,547.168919400021,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,37,4,300,1,,,,,547.18382570002,547.6654380400141,548.1649830000242,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,37,5,301,2,,,,,548.182228300022,548.6646190400061,549.1643820000463,,,,,549.1825867000152,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,37,6,302,5,,,,,549.1825867000152,549.6639386400057,550.1627627000562,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,37,7,303,5,,,,,550.1964572000434,550.6645062400203,,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,38,0,304,1,,,,,551.1955973000149,551.6792778400413,552.177661200054,,,,,,counter1,001,2023-10-19_16h07.13.981,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,552.1977022000356,,,,,,,,,,,,,,
