trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,117.67079829997965,117.67079829997965,space,15.293528200010769,,,,,,,,,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,0,0,0,,,,,,,,,133.01118339999812,133.99605979997432,133.99609674999084,134.99701469999854,None,1,136.49799089998123,,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,1,1,0,,,,,,,,,137.49875669999165,138.48339009998017,138.48402434997553,,None,1,141.00240859997575,140.9850396999973,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,2,2,2,,,,,,,,,142.00269339999068,142.98798730000271,142.98780814997446,,None,1,145.50691099997493,145.49063039998873,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,3,3,3,,,,,,,,,146.5085693000001,147.49305469999672,147.4923740499915,,t,1,150.0111727999756,149.99389630000223,0.9496328000095673,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,0,4,2,,,,,,,,,151.0116022999864,151.99561579999863,151.99566054998724,,None,1,154.51316469997982,154.49615009999252,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,1,5,3,,,,,,,,,155.49743259997922,156.48144689999754,156.48171204997635,,t,1,159.00050519997603,158.9837714000023,1.6127857999817934,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,2,6,1,,,,,,,,,160.0015217999753,160.98554579998017,160.9852696499991,,None,1,163.50418329998502,163.48747199997888,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,3,7,1,,,,,,,,,164.50542380000115,165.48928859998705,165.48933834998462,,None,1,168.00809879999724,167.9909794999985,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
,,,,,,,,,,,,,,,,,,,,,,,,,169.00865499998326,169.00865499998326,space,0.910193599993363,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,0,0,1,,,,,169.95840889998362,170.9434814999986,170.94360344999296,,None,1,,,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,1,1,1,,,,,173.44574619998457,174.42973519998486,174.4300978499785,,None,1,,176.9324207000027,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,2,2,1,,,,,176.9486968999845,177.93334229997708,177.93312994998706,,None,1,,180.4352491000027,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,3,3,1,,,,,180.45129389999784,181.43636769999284,181.4360420499841,,None,1,,183.93866129999515,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,0,4,1,,,,,183.95489399999497,184.9385534999892,184.9387843499979,,None,1,,187.4406725000008,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,187.45723040000303,188.4415989999834,188.44144294998551,189.44292739999946,t,1,,190.94367280000006,0.7930307000060566,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,2,6,0,,,,,190.96022439998342,191.92762639999273,191.92773604998075,,None,1,,194.42994549998548,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,3,7,1,,,,,194.4466875999933,195.4307275999745,195.4308489499934,,None,1,,197.9329285999993,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,0,8,1,,,,,197.9493211999943,198.9337349999987,198.93360064999143,,None,1,,201.43639229997643,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,1,9,0,,,,,201.45248869998613,202.437835299992,202.43789754999744,203.43894229998114,None,1,,204.94013089998043,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,2,10,1,,,,,204.95702479998,205.94092719999026,205.94070654999524,,None,1,,208.44283679997898,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,3,11,2,,,,,208.45936749997782,209.44381460000295,209.44360264998687,210.44453589999466,None,1,,,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,0,12,0,,,,,211.94588539999677,212.92919599998277,212.92931734997256,,None,1,,215.43090049998136,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,1,13,3,,,,,215.44768299997668,216.43121779998182,216.43161204998324,,t,1,,218.93384349998087,0.7826720000011846,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,2,14,0,,,,,218.95052309997845,219.93486649999977,219.93462924999477,,None,1,,222.4373895000026,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,3,15,2,,,,,222.45352399998228,223.4377454999776,223.43760264999293,224.4385697999969,None,1,,225.9393940999871,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,0,16,3,,,,,225.95609909997438,226.94027729998925,226.94024384999358,,t,1,,229.44240040000295,0.8052207000146154,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,1,17,2,,,,,229.45915679997415,230.44350850000046,230.44319935000095,231.44444539997494,None,1,,,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,2,18,2,,,,,232.9454816999787,233.92969949997496,233.929504550001,,None,1,,236.43142699997406,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,3,19,0,,,,,236.44815059998655,237.4326457999996,237.43263214998007,,None,1,,239.93468179999036,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,0,20,2,,,,,239.95148239997798,240.93604069997673,240.93569894999092,,None,1,,243.4373827999807,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,1,21,2,,,,,243.45406989997718,244.43831099997624,244.4382658499788,,None,1,,246.94023379997816,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,2,22,0,,,,,246.9572381999751,247.94110189998173,247.94126424999268,,None,1,,250.443065999978,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,3,23,0,,,,,250.46006699997815,251.42761079999036,251.42762534998184,,None,1,,253.9294241000025,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,0,24,3,,,,,253.9464020000014,254.93043739997665,254.9302191499999,,t,1,,257.4324733999965,0.6690557000110857,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,1,25,3,,,,,257.44899769997573,258.43398400000297,258.4336305499863,,t,1,,260.9358691999805,0.997530699998606,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,6,2,26,1,,,,,260.95245789998444,261.9363786999893,261.9362568499899,,None,1,,264.4395589999913,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,6,3,27,0,,,,,264.4562578999903,265.4405969999789,265.4406931499805,,None,1,,267.9427633000014,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,0,28,2,,,,,267.95950269998866,268.92772649999824,268.92728174998484,,None,1,,271.4290970999864,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,1,29,0,,,,,271.4457193999842,272.42966329999035,272.42982834999276,,None,1,,274.9302076000022,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,2,30,0,,,,,274.9471510000003,275.9320356999815,275.9315705499874,,None,1,,278.4340006999846,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,3,31,2,,,,,278.45031639997615,279.4346148999757,279.4349831499829,,None,1,,281.93664499997976,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,0,32,2,,,,,281.9528941999888,282.937308499997,282.9371059499943,,None,1,,285.439069199987,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,1,33,1,,,,,285.4560661999858,286.44013529998483,286.44020275000076,,None,1,,288.94241069999407,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,2,34,3,,,,,288.9591595999955,289.94290699998965,289.9432137499942,290.9441553999786,t,1,,,0.7775966000044718,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,3,35,3,,,,,292.4451439999975,293.4292329000018,293.4295341499936,,t,1,,295.9316913999792,0.9652139999961946,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,0,36,3,,,,,295.94862379998085,296.93250719999196,296.9329815499921,,t,1,,299.4346720999747,0.8213237000163645,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,1,37,3,,,,,299.4510289999889,300.4355258999858,300.43560154997687,,t,1,,302.9372298999806,0.8614824000105727,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,9,2,38,2,,,,,302.9539515999786,303.93833809997886,303.9380803499924,,None,1,,306.4400109999988,,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,3,39,3,,,,,306.45700579998083,307.44105449999915,307.441591549982,,t,1,,309.9431026999955,0.8151485999987926,,,,,,,,,,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.960505199997,312.9324537999928,312.96560820000013,e,12.137728699977743,elpida_250-1200,this,2023-10-12_12h12.51.168,Oddball_task,2022.2.5,59.83631177901819,
